Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
2015-07-30,3246,14105,10.48,20,718.0,225,60,44,1727,304,47,21,357,651.196.808,Thursday,3.0,1,506.666.666.667,851.540.616.246,486.666.666.667,851.311.953.353,July,7
2015-07-31,2654,9194,6.83,20,784.0,198,7,0,9140,419,51,25,480,424.396.393,Friday,4.0,1,698.333.333.333,872.916.666.667,506.666.666.667,851.540.616.246,July,7
2015-08-01,3453,17497,13.02,11,1.092,219,54,45,1673,172,6,7,185,809.025.042,Saturday,5.0,0,286.666.666.667,92.972.972.973,698.333.333.333,872.916.666.667,August,8
2015-08-02,2651,5765,4.28,8,544.0,245,6,6,1039,303,48,31,356,265.946.788,Sunday,6.0,0,05.05,851.123.595.506,286.666.666.667,92.972.972.973,August,8
2015-08-03,342,15362,11.41,16,683.0,226,65,54,1883,368,29,23,406,708.984.311,Monday,0.0,1,613.333.333.333,906.403.940.887,05.05,851.123.595.506,August,8
2015-08-04,2863,987,7.33,20,793.0,186,28,32,1225,389,36,19,433,455.464.943,Tuesday,1.0,1,648.333.333.333,898.383.371.824,613.333.333.333,906.403.940.887,August,8
2015-08-05,3326,14502,10.78,34,520.0,250,41,59,1838,415,39,31,467,669.837.938,Wednesday,2.0,1,691.666.666.667,888.650.963.597,648.333.333.333,898.383.371.824,August,8
2015-08-06,3472,14652,10.89,26,562.0,350,42,20,2079,0,0,0,0,676.673.019,Thursday,3.0,1,0.0,0.0,691.666.666.667,888.650.963.597,August,8
2015-08-07,2849,7628,5.67,11,638.0,283,11,8,1297,529,78,38,607,352.317.357,Friday,4.0,1,881.666.666.667,871.499.176.277,0.0,0.0,August,8
2015-08-08,3168,13877,10.31,32,609.0,206,57,51,1638,294,42,18,351,640.633.501,Saturday,5.0,0,4.9,837.606.837.607,881.666.666.667,871.499.176.277,August,8
